KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dialogue_q4aOW,Station Surveyor AI,Stationsvermessungs-KI,Intendant IA de station,,,,,,ИИ Геодезической станции,ステーション検査AI,站点监测 AI,,,,,,
dialogue_0mW4q,I hope everything is going well with you {PlayerName} @w4,"Ich hoffe, alles läuft gut bei dir, {PlayerName} @w4",J'espère que je peux avoir confiance en vous {PlayerName} @w4,,,,,,,すべてが順調に進んでいることを願っています{PlayerName} @w4,我希望你一切顺利 {PlayerName} @w4,,,,,,
dialogue_S4uWg,Station Surveyor AI,Stationsvermessungs-KI,Intendant IA de station,,,,,,ИИ Геодезической станции,ステーション検査AI,站点监测 AI,,,,,,
dialogue_KKqCi,. @w2 . @w2 . @w2 . @w2 Source code recompiling tasks still running. @w2 . @w2 . @w2 . @w2,. @w2 . @w2 . @w2 . @w2 Die Prozesse zur Neukompilierung des Quellcodes laufen noch. @w2 . @w2 . @w2 . @w2,. @w2 . @w2 . @w2 . @w2 Tâches de recompilation du code source toujours en cours d'exécution. @w2 . @w2 . @w2 . @w2,,,,,,,. @w2 . @w2 . @w2 . w2 ソースコードの再コンパイルタスクはまだ実行中です。@w2 . @w2 . @w2 . @w2,. @w2 . @w2 . @w2 . @w2 源代码重新编译任务仍在运行。 @w2 . @w2 . @w2 . @w2,,,,,,
dialogue_E8ikV,Station Surveyor AI,Stationsvermessungs-KI,Intendant IA de station,,,,,,ИИ Геодезической станции,ステーション検査AI,站点监测 AI,,,,,,
dialogue_0MO8e,Station Surveyor AI,Stationsvermessungs-KI,Intendant IA de station,,,,,,ИИ Геодезической станции,ステーション検査AI,站点监测 AI,,,,,,
dialogue_OOKOC,. @w2 . @w2 . @w2 . My sensors detect some of Dave's organization ships still active in the sector @w3 I will dispatch drones to the coordinates! @w8,". @w2 . @w2 . @w2 . Meine Sensoren entdecken einige Schiffe von Daves Organisation, die noch im Sektor aktiv sind @w3 Ich werde Drohnen zu den Koordinaten schicken! @w8",. @w2 . @w2 . @w2 . Mes capteurs détectent des vaisseaux de l'Organisation de Dave encore actifs dans le secteur @w3 Je vais envoyer des drones aux coordonnées! @w8,,,,,,,. @w2 . @w2 . @w2 . 私のセンサーがいくつかのまだアクティブなデイブの組織の船を検知しました。 @w3 座標にドローンを派遣します！ @w8,. @w2 . @w2 . @w2 . 我的传感器探测到戴夫一伙人的一些舰船还在这个区域活动 @w3 我要派无人机去清除他们！ @w8,,,,,,
dialogue_SSe8m,Station Surveyor AI,Stationsvermessungs-KI,Intendant IA de station,,,,,,ИИ Геодезической станции,ステーション検査AI,站点监测 AI,,,,,,
dialogue_EmiKG,. @w2 . @w2 . @w2 Now that I'm no longer in that organization I could probably use a good new coat of paint! . @w2 . @w2 . @w2 \n\nWill reassign some of those old cyborgs for that. @w4,". @w2 . @w2 . @w2 Jetzt, wo ich nicht mehr in dieser Organisation bin, könnte ich wahrscheinlich einen guten neuen Anstrich gebrauchen! . @w2 . @w2 . @w2 ... Ich werde ein paar von den alten Cyborgs dafür abkommandieren. @w4",". @w2 . @w2 . @w2 Maintenant que je ne fais plus partie de cette Organisation, j'aurais besoin moi aussi d'une nouvelle couche de peinture!. @w2 . @w2 . @w2 \n\nJe vais réassigner certains de ces vieux cyborgs pour ça. @w4",,,,,,,. @w2 . @w2 . @w2 私はもうその組織にはいないので、おそらく新しい塗料のコートを使用することができる！ . @w2 . @w2 . @w2 \n\nそのために古いサイボーグを何人か再配置するつもりだ。 @w4,. @w2 . @w2 . @w2 现在我已经不属于那个组织了，我可能需要一个更好的新终端！ . @w2 . @w2 . @w2 \n\n我会重新分配一些旧的机器人来做这个。 @w4,,,,,,
dialogue_qaMeH,Station Surveyor AI,Stationsvermessungs-KI,Intendant IA de station,,,,,,ИИ Геодезической станции,ステーション検査AI,站点监测 AI,,,,,,
dialogue_SquCO,Another bug free processing cycle. @w2 . @w2 . @w2 . It's good to be the new me. @w6,"Ein weiterer fehlerfreier Verarbeitungszyklus. @w2 . @w2 . @w2 . Es ist gut, das neue Ich zu sein. @w6",Un autre cycle de traitement sans bug. @w2 . @w2 . @w2 . C'est bon d'être un nouveau moi. @w6,,,,,,,もう1つのバグのない処理サイクル。 @w2 . @w2 . @w2 . 新しい私になって良かった。 @w6,另一个无缺陷的处理周期。 @w2 . @w2 . @w2 . 轮回新生，我感觉真好。 @w6,,,,,,
dialogue_a8mqm,Station Surveyor AI,Stationsvermessungs-KI,Intendant IA de station,,,,,,ИИ Геодезической станции,ステーション検査AI,站点监测 AI,,,,,,
dialogue_WKqC8,Sensors show we're standing on the biggest asteroids in the sector! . @w2 . @w2 . @w2 \n\nBy a margin of roughly 184% to the closest contestant! @w8,"Die Sensoren zeigen, dass wir auf den größten Asteroiden des Sektors stehen! . @w2 . @w2 . @w2 \n\nMit einem Vorsprung von etwa 184% auf den nächstbesten Konkurrenten! @w8",Les capteurs montrent que nous nous trouvons sur le plus gros des astéroïdes du secteur!. @w2 . @w2 . @w2 \n\nAvec un écart d'environ de 184% du concurrent le plus proche! @w8,,,,,,,センサーは我々がこのセクターで最大の小惑星に立っていることを示しています！ . @w2 . @w2. @w2 \n\n 最も近い競争相手に約184％の差をつけて！@w8,传感器显示我们正站在这个区域最大的小行星上！ . @w2 . @w2 . @w2 \n\n体积大致是第二名的184% @w8,,,,,,
dialogue_KmWqc,Where did I heard this one before?....,Wo habe ich das schon mal gehört?....,Où ai-je déjà entendu ça avant?....,,,,,,,これは前にどこで聞いたっけ？ ....,我以前在哪里听过这个？....,,,,,,
dialogue_a0aK0,"Well, thanks again!",Nochmals vielen Dank!,"Eh bien, merci encore!",,,,,,,えーと、今回もありがとう！,好吧，再次谢谢你！,,,,,,
dialogue_4g8Ke,Station Surveyor AI,Stationsvermessungs-KI,Intendant IA de station,,,,,,ИИ Геодезической станции,ステーション検査AI,站点监测 AI,,,,,,
dialogue_S8Gi8,Emergency Console,Notfallkonsole,Console d'urgence,,,,,,Аварийная консоль,緊急コンソール,紧急控制台,,,,,,
dialogue_uq8M4, Computer System in safe mode \nPress any key to review automatically generated logs...," Computersystem im abgesicherten Modus \n Drücke eine beliebige Taste, um automatisch generierte Protokolle zu überprüfen...",Système en mode sans échec \nPressez n'importe quelle touche pour consulter les journaux générés automatiquement ...,,,,,,,@d3コンピュータシステムはセーフモードです。\n任意のキーを押して自動生成されたログを確認します...,计算机系统进入安全模式 \n按任意键查看自动生成的日志...,,,,,,
dialogue_8mGu0,<i>Press any key</i>,<i>Beliebige Taste drücken</i>,<i>Pressezn'importe quelle touche</i>,<i>Premi un tasto</i>,,,,,<i>Нажмите любую клавишу</i>,<i>いずれかのキーを押す</i>,<i>按任意键继续</i>,,,,,,
dialogue_CO2gu,Emergency Console,Notfallkonsole,Console d'urgence,,,,,,Аварийная консоль,緊急コンソール,紧急控制台,,,,,,
dialogue_W0eKG," [Log 001] Hazardous substance warning issued in Container Unit 03. \n[Log 002] Radiation levels in Container Unit 03 are elevated. \n[Log 003] Foreign biological material detected in cargo conduits. \n[Log 004] Foreign biological material detected in Container Units 01 and 05. \n[Log 005] Foreign biological material detected in Container Units 07, 06 and cargo corridor. \n[Log 006] Foreign biological material detected in ventilation system. @p9 [Log 007] Biological contaminants have breached containment. \n[Log 008] Crew ordered to quarters. Quarantine now in effect. \n[Log 009] Unknown lifeforms detected aboard. \n[Log 010] Ship entered full lockdown under executive order 124 - Condition Red. \n[Log 011] Crewmembers aboard: 0 \n[Log 012] Low power detected. Entering silent mode. @p9 [Log 217] Emergency Console Activated - Unregistered Personel"," [Log 001] Gefahrstoffwarnung in Container Einheit 03 ausgegeben. \n[Log 002] Die Strahlungswerte in Container Einheit 03 sind erhöht. \n[Log 003] Fremdes biologisches Material in den Frachtleitungen entdeckt. \n[Log 004] Fremdes biologisches Material in den Containereinheiten 01 und 05 entdeckt. \n[Log 005] Fremdes biologisches Material in den Containereinheiten 07, 06 und im Frachtkorridor entdeckt. \n[Log 006] Fremdes biologisches Material in der Lüftungsanlage entdeckt. \n[Log 007] Biologische Verunreinigungen haben das Sicherheitssystem durchbrochen. \n[Log 008] Crew in Quartiere beordert. Quarantäne ist jetzt in Kraft. \n[Log 009] Unbekannte Lebensformen an Bord entdeckt. \n[Log 010] Das Schiff wurde unter Ausführungsverordnung 124 vollständig abgeriegelt - Zustand Rot. \n[Log 011] Crewmitglieder an Bord: 0 \n[Log 012] Niedrige Energie entdeckt. Gehe in den stillen Modus. @p9 [Log 217] Notfallkonsole aktiviert - Unregistrierte Person
","[Journal 001] Alerte substance dangereuse détectée dans l'unité container 03. \n[Journal 002] Les niveaux de radiation de l'unité de container 03 sont élevés. \n[Journal 003] Matière biologique étrangère détectée au sein de la cargaison. \n[Journal 004] Matière biologique étrangère détectée dans les unités de container 01 et 05. \n[Journal 005] Matière biologique étrangère détectée dans les unités de container 07, 06 et le couloir de fret. \n[Journal 006] Matière biologique étrangère détectée dans le système de ventilation. @p9 [Journal 007] Des contaminants biologiques ont violé le confinement. \n[Journal 008] Équipage ordonné aux quarts. La quarantaine est maintenant en vigueur. \n[Journal 009] Formes de vie inconnues détectées à bord. \n[Journal 010] Le vaisseau est entré en mode verrouillage complet en vertu du décret 124 - Condition rouge. \n[Journal 011] Membres d'équipage à bord: 0 \n[Journal 012] Faible energie détectée. Passage en mode silencieux. @p9 [Journal 217] Console d'urgence activée - Personnel non enregistré",,,,,,,,[日志 001] 容器单元03发出危险物质警告。 \n[日志 002] 容器03单元的辐射水平升高。 \n[日志 003] 货物管道中检测到外来生物物质。 \n[日志 004] 在01号和05号容器单元中检测到外来生物物质。 \n[日志 005] 在07号、06号容器单元和货物运输通道中检测到外来生物物质。 \n[日志 006] 通风系统中检测到外来生物物质。 @p9 [日志 007] 生物污染物已经突破了单元外壳。 \n[日志 008] 船员被命令回到营房，隔离现在生效。 \n[日志 009] 船上发现了未知的生命体。 \n[日志 010] 根据第124号行政命令，舰船进入完全封锁状态 - 红色警报。 \n[日志 011] 舰内船员生存数: 0 \n[日志 012] 电力不足。进入静默模式。 @p9 [日志 217] 紧急控制台启动 - 注销所有人员,,,,,,
dialogue_qaSim,<i>Log out</i>,<i>Abmelden</i>,<i>Déconnexion</i>,,,,,,<i>Выйти</i>,<i>ログアウト</i>,<i>注销</i>,,,,,,
dialogue_8COm0,Bridge Console,Brückenkonsole,Console passerelle,,,,,,Консоль Мостика,ブリッジコンソール,舰桥控制台,,,,,,
dialogue_u4Cda," Acting captain's log 22-17-5301 @w8 \nSomething in the cargo we were carrying has breached containment and has been affecting both the ship and the crew. @w5 \nIt started as nothing more than a few headaches but before long it had spread to the entire crew. @w6 \nSlowly they became delusional and had to be locked in their quarters before they became violent. @p9 Whatever it was in that cargo we were carrying, @w3 it's been hard at work while we've been trying to contain the crew. @w6 \nSlowly but surely it consumed and disabled the cargo sensors and began corrupting the hull of the ship unnoticed... @w8 at least until I looked out the window @w4 and saw growths on the exterior of unit 5. @w8 \nI had to...@w5 order cargo purges on the remaining units that I could still access. @w8\nI'm about to initiate a complete lockdown of all system and shut all emergency bulkheads and blast doors before I... @p9 I...@w4 i've slaved the controls away from the ship's AI...@w4 to a lever here on the bridge... \n@w7 I've put some of the security turrets in here to keep those things...@w4 those things...@w4 away from the controls. \nI... think i'll take a little walk... outside. \n@w9 It looks like it'll be a lovely day outside..."," Logbuch des amtierenden Kapitäns 22-17-5301 @w8 \nEtwas in der Ladung, die wir transportierten, hat die Eindämmung durchbrochen und sowohl das Schiff als auch die Crew beeinträchtigt. @w5 \nEs begann mit ein paar Kopfschmerzen, aber schon bald hatte es sich auf die gesamte Besatzung ausgebreitet. @w6 \nNach und nach wurden sie wahnhaft und mussten in ihren Quartieren eingeschlossen werden, bevor sie gewalttätig wurden. @p9 Was auch immer das in der Ladung war, die wir transportiert haben, @w3 es hat ganze Arbeit geleistet, während wir versucht haben, die Crew unter Kontrolle zu bringen. @w6 Langsam aber sicher hat es die Frachtsensoren verzehrt und deaktiviert und unbemerkt begonnen, die Schiffshülle zu zersetzen... @w8 zumindest bis ich aus dem Fenster schaute @w4 und Wucherungen an der Außenseite von Einheit 5 sah. @w8 \n Ich musste...@w5 eine Säuberung der verbleibenden Einheiten anordnen, zu denen ich noch Zugang hatte. @w8\n Ich bin dabei, eine komplette Abriegelung aller Systeme zu initiieren und alle Notschotts und Explosionstüren zu schließen, bevor ich... @p9 Ich...@w4 Ich habe die Steuerung von der KI des Schiffes...@w4 auf einen Hebel hier auf der Brücke verlagert... \n@w7 Ich habe einige der Sicherheitstürme hier eingebaut, um diese Dinger...@w4 diese Dinger...@w4 von den Kontrollen fernzuhalten. \n... Ich denke, ich werde einen kleinen Spaziergang machen... draußen. \n@w9 Es sieht so aus, als würde es ein schöner Tag draußen werden...
","Journal du capitaine par intérim 22-17-5301 @w8 \nUn élément de la cargaison que nous transportions a violé le confinement et affecté le vaisseau et l'équipage. @w5 \nÇa a commencé par quelques maux de tête et ça s'est rapidement propagé à tout l'équipage. @w6 \nPetit à petit, ils sont devenus délirants et ont dû être enfermés dans leurs quartiers avant de devenir violents. @p9 Malgré la chose qui se trouvait dans la cargaison que nous transportions, @w3 nous avons dû nous efforcer de contenir l'équipage. @w6 \nLentement mais sûrement, la chose a consumé et désactivé les capteurs, a commencé à corrompre la coque du vaisseau sans que ce soit détecté... @w8 au moins jusqu'à ce que je regarde par la baie vitrée @w4 et que j'observe des excroissances à l'extérieur de l'unité 5. @w8 \nJ'ai dû... @w5 commander la purge de la cargaison pour les unités restantes auxquelles je pouvais encore accéder. @w8 \nJe suis sur le point d'initier un verrouillage complet de tout le système et de fermer toutes les cloisons de secours et les portes anti-souffle avant que... @p9 que... @w4 J'ai réussi à isoler les commandes loin du contrôle de l'IA du vaisseau... @w4 et les centraliser sur la passerelle... \n@w7 J'ai mis quelques-unes des tourelles de sécurité en place ici pour tenir cette chose... @w4 cette chose... @w4 hors de portée des commandes. \nJe... pense que je vais faire une petite ballade... à l'extérieur. \n@w9 On dirait que ça va être une belle journée dehors...",,,,,,,,激活舰长日志 22-17-5301 @w8 \n我们运送的货物中有东西突破了容器外壳，影响了船只和感染了船员。 @w5 \n一开始只是一些头痛，但不久就蔓延到了全体船员。 @w6 \n慢慢地，他们变得思维混乱，在他们变得暴力之前，我们不得不将他们锁在自己的房间里。 @p9 不管我们运送的货物是什么， @w3 我们一直在努力防止传染扩散，工作很辛苦。 @w6 \n慢慢地，但肯定地，它侵入并禁用了货物传感器，并开始在不知不觉中腐蚀船体... @w8 甚至在我向窗外望去时 @w4 在5号容器单元的外部看到了肉眼可见的增长。 @w8 \n我不得不...@w5 在我还可以访问的剩余单元上命令清除货物。 @w8\n我要启动所有系统的全面封锁，关闭所有紧急舱门和防爆门... @p9 在这之前，我...@w4 我先要把控制权从飞船的AI系统上转移...@w4 到舰桥这里的控制器... \n@w7 我在这里安装了一些警卫炮台来防御那些...@w4 那些东西...@w4 远离控制器 \n我... 想我应该去透透气... 到外面 \n@w9 看起来太空的恶劣环境也比这里舒服些...,,,,,,
dialogue_aSqqO,<i>Shut Down</i>,<i>Abschalten</i>,<i>Désactiver</i>,<i>Spegni</i>,,,,,<i>Выключить</i>,<i>シャットダウン</i>,<i>关闭</i>,,,,,,
dialogue_gemS0,Security Terminal,Sicherheitsterminal,Terminal de sécurité,Terminale di Sicurezza,,,,,Терминал безопасности,セキュリティターミナル,安全终端,,,,,,
dialogue_4LeWS," Hostile lifeforms detected in rear hangar bay @p9 Heavy Assault Mechanoid not responsive \n@w5 Ship-Defense-AI has failed authentication handshake \n@w5 Security system compromised. \n@w5 IFF has been disabled @p9 Recommended action: @w4 \nDivert Mechanoid security protocols to this console and initiate a hard reboot using the switch on the container. @p9 To initiate a hard reboot and divert security protocols,@w4 enter the code 6662 into the CPU's breaker switch and pull the switch down to lock the Ship-Defense-AI out of the mechanoid control system. @w7\nTo complete the reboot sequence you must pull the manual override lever on the mechanoid container itself. @w7\n\nEnd of message"," Feindliche Lebensformen im hinteren Hangar entdeckt @p9 Schwerer Kampfroboter nicht ansprechbar \n@w5 Schiffsverteidigungs-AI hat Authentifizierungs-Protokoll nicht bestanden \n@w5 Sicherheitssystem kompromittiert. \n@w5 IFF wurde deaktiviert @p9 Empfohlene Aktion: @w4 \nÜbertrage die Roboter-Sicherheitsprotokolle zu dieser Konsole und initiiere einen harten Neustart über den Schalter am Container. @p9 Um einen harten Neustart zu initiieren und die Sicherheitsprotokolle umzuleiten, @w4 gieb den Code 6662 in den Unterbrecherschalter der CPU ein und ziehen den Schalter nach unten, um die Schiffsverteidigungs-KI aus dem Roboter-Steuerungssystem zu sperren. @w7\nUm die Reboot-Sequenz abzuschließen, musst du den manuellen Überbrückungshebel am Roboter-Container selbst ziehen. @w7\n\nEnde der Nachricht
",".. formes de vie hostiles détectées près de la baie à l'arrière du hangar @p9 MÉCHA d'assaut lourd non réactif \n@w5 Tentative échouée d'authentification du système de défense IA du vaisseau  \n@w5 Système de sécurité compromis. \n@w5 L'IFF a été désactivé @p9 Action recommandée: @w4 \nRediriger les protocoles de sécurité du MÉCHA vers cette console et procéder à un redémarrage complet à l'aide du commutateur placé sur le container dans cette pièce. @p9 Pour lancer un redémarrage complet et rediriger les protocoles de sécurité, @w4 le code 6662 doit être entré dans le commutateur de verrouillage, puis actionner ce dernier pour verrouiller le système de défense IA du vaisseau hors de portée du système de contrôle MÉCHA. @w7 \nPour compléter la séquence de redémarrage, vous devez actionner le commutateur Bypass situé sur le container MÉCHA lui-même. @w7 \n\nFin du message",,,,,,,,在后机库舱发现敌方生命体 @p9 重型攻击机械人没有反应 \n@w5 舰船-防御-AI无法进行身份验证和握手协议 \n@w5 安保系统失效 \n@w5 敌我识别系统被禁用 @p9 建议的行动: @w4 \n将安保机械人的安全协议转移到此控制台，并使用容器上的开关硬启动重启程序。 @p9 启动硬重启并转移安全协议，@w4 将密码 6662 输入CPU的断路器开关，向下拉开关，将舰船-防御-AI锁定在机械控制系统之外。 @w7\n要完成重新启动序列，你必须拉动机械容器上的手动覆写控制杆。 @w7\n\n信息结束,,,,,,
dialogue_uU84q,<i>Close</i>,<i>Schließen</i>,<i>Désactiver</i>,<i>Chiudi</i>,,,,,<i>Закрыть</i>,<i>閉じる</i>,<i>关闭</i>,,,,,,
dialogue_auGGC,Thanks!,Danke!,Merci!,,,,,,Спасибо!,,多谢！,,,,,,
dialogue_O004m,Commander Mercer Junior,Commander Mercer Junior,Commandant Mercer Junior,,,,,,,,小默瑟指挥官,,,,,,
dialogue_mqGGi,Welcome {PlayerName} to GLaD Sigma base! @w4\n\nPlease excuse the way we tried to get in touch with you. There were some doubts...,"Willkommen {PlayerName} in der GLaD Sigma-Basis! @w4\n\nBitte entschuldige die Art und Weise, wie wir versucht haben, mit dir in Kontakt zu treten. Es gab einige Zweifel...",Bienvenue Commandant {PlayerName} dans la base GLaD Sigma! @w4 \n\nExcusez la façon dont nous avons essayé de vous contacter. Nous avions quelques doutes...,,,,,,,,{PlayerName}，欢迎来到格莱德集团西格玛基地！ @w4\n\n请原谅我们试图和你联系的方式。我有点疑虑...,,,,,,
dialogue_GRe8K,<i>Doubts?</i>,<i>Zweifel?</i>,<i>Des doutes?</i>,,,,,,,,<i>疑虑？</i>,,,,,,
dialogue_OiCGR,"Yes, doubts about you being the one we hoped you were .. and not simply another trap, set up by our Zirax friends to get hold of GLaD agents. But Commander Lamarr - you know her as Sectioner32 - seems to have been right from the beginning...","Ja, Zweifel daran, dass du derjenige bist, von dem wir gehofft haben, dass du es bist ... und nicht einfach eine weitere Falle, die von unseren Zirax-Freunden aufgestellt wurde, um GLaD-Agenten in die Hände zu bekommen. Aber Commander Lamarr - du kennst sie als Abteilungsleiter32 - scheint von Anfang an Recht gehabt zu haben ...","Oui, des doutes sur le fait que vous soyez celui que nous espérions… et pas simplement un autre piège, mis en place par nos amis Zirax pour mettre la main sur des agents du GLaD. Mais le commandant Lamarr - vous la connaissez sous le nom de Sectioner32 - semble avoir eu raison depuis le début...",,,,,,,,是的，疑虑你是否是我们想象的那样 .. 而不是我们的兹瑞克斯“朋友”试图抓住格莱德集团的特工而设下的另一个陷阱。 但是拉马尔指挥官 - 就是你在节点32获悉的那个 - 似乎从一开始就对你毫不怀疑...,,,,,,
dialogue_S0oeC,Alex is here?,Alex ist hier?,Alex est là?,,,,,,,,亚历克斯在这里？,,,,,,
dialogue_4mGW8,"Not at the moment, I am afraid. She is on a very delicate mission. But she should be back in a few days.","Im Moment nicht, fürchte ich. Sie ist auf einer sehr heiklen Mission. Aber sie sollte in ein paar Tagen zurück sein.","Pas pour le moment, j'en ai peur. Elle est sur une mission très délicate. Mais elle devrait être de retour dans quelques jours.",,,,,,,,恐怕现在不在。亚历克斯正在执行一项非常微妙的任务。但应该几天后就会回来。,,,,,,
dialogue_0KqeS,<i>Great..</i>,<i>Großartig..</i>,<i>Génial..</i>,,,,,,,,<i>好吧..</i>,,,,,,
dialogue_OK8OC,"I am Sorry. We should have made contact early on I think. The circumstances of our own arrival and the reports of you being dropped out of a wormhole in the same orbit as we were arriving, should have made us less cautious.","Es tut mir leid. Wir hätten schon früh Kontakt aufnehmen sollen, denke ich. Die Umstände unserer eigenen Ankunft und die Berichte, dass du aus einem Wurmloch im gleichen Orbit wie wir ankamst, hätten zu weniger Vorsicht Anlass gegeben.","Je suis désolé. Nous aurions dû prendre contact plus tôt, je pense. C'est vrai que les circonstances de notre venue et les rapports de votre sortie d'hyprespace dans la même orbite où nous venions d'arriver, auraient dû nous rendre plus confiants.",,,,,,,,我很抱歉，我想我们应该早点联系。我们自己到达这里的恶劣情况以及关于你被从与我们相同的轨道的虫洞里抛出来的报道，应该让我们不那么乐观的认为你还活着。,,,,,,
dialogue_uGiqO,Mercer jr? You have been part of the UCH Heidelberg crew?,Mercer jr.? Du warst Teil der UCH Heidelberg Mannschaft?,Mercer jr? Vous avez fait partie de l'équipe de l'UCH Heidelberg?,,,,,,,,小默瑟？你是海德堡号的船员吗？,,,,,,
dialogue_qKQ8W,"Correct. You found my note, I think?","Korrekt. Du hast meine Notiz gefunden, glaube ich?","Correct. Vous avez trouvé ma note, je pense?",,,,,,,,正确。你找到了我留的信息，不是吗？,,,,,,
dialogue_8G0Gq,"Yes, and the notes in the Titan wreckage","Ja, und die Notizen im Wrack der Titan","Oui, et également les notes dans l'épave du Titan",,,,,,,,是的，但是信息是在泰坦号残骸中发现的。,,,,,,
dialogue_SWY8a,Hm. That probably was from my father. He was on board of the UCH Titan and I think he had something todo with all that has happened .. at least he indicated this when we spoke a few weeks before I was assigned to the UCH Heidelberg.,"Hm. Das war wahrscheinlich von meinem Vater. Er war an Bord der UCH Titan und ich denke, er hatte etwas mit all dem zu tun, was passiert ist ... zumindest deutete er das an, als wir ein paar Wochen bevor ich der UCH Heidelberg zugewiesen wurde, miteinander sprachen.",Hm. Cela venait probablement de mon père. Il était à bord de l'UCH Titan et je pense qu'il avait quelque chose à voir avec tout ce qui s'est passé... du moins c'est ce qu'il a vaguement mentionné lorsque nous nous sommes entretenus quelques semaines avant mon affectation à l'UCH Heidelberg.,,,,,,,,嗯。那可能是我父亲留的。他当时在UCH舰队泰坦号上，我想他对所发生的一切都有所了解。。至少在我被分配到UCH舰队海德堡号的几周前，我们交谈时，他已经表明了这一点。,,,,,,
dialogue_q444e,Family secrets?,Familiengeheimissse?,Des secrets de famille?,,,,,,,,你们私下谈到了什么？,,,,,,
dialogue_aS4mu,"Ah...you know..no idea. He was worried about something. He did not want me to join the Operation Phoenix in the first place. I signed up anyways. This whole expedition was just too tempting for me. And as we all thought, we would only go to Proxima Centauri, get some resources and then back again. A round trip around the block...","Ah...weißt du...keine Ahnung. Er war wegen irgendetwas besorgt. Er wollte von vornherein nicht, dass ich der Operation Phoenix beitrete. Ich habe mich trotzdem gemeldet. Diese ganze Expedition war einfach zu verlockend für mich. Und wie wir alle dachten, würden wir nur nach Proxima Centauri gehen, ein paar Ressourcen holen und dann wieder zurück. Eine Rundreise um den Block...","Ah... hé bien... aucune idée. Il était inquiet pour quelque chose. Il ne voulait pas que je participe à l'opération Phoenix en premier lieu. Je me suis inscrit de toute façon. Toute cette expédition était trop tentante pour moi. Et comme nous le pensions tous, c'était juste un expédition vers Proxima de Centaure, pour y collecter des ressources, puis revenir. Un aller-retour pas très loin...",,,,,,,,啊…你知道…毫无疑问。他有点担心，他一开始不想让我加入凤凰行动。但最后我还是报名了，整个探险对我来说太诱人了。正如我们所想的那样，我们只需要去半人马座，得到一些资源，然后再回来。绕着星区游览一番...,,,,,,
dialogue_U8iea,Then things went different..,Dann kam alles anders...,Puis les choses se sont passées différemment...,,,,,,,,然后事情就不一样了..,,,,,,
dialogue_uS0iS,Yes. The wavefront catapulted us to Andromeda. The Zirax attacked us and destroyed a lot of ships. We lost a lot of fine men and women until Perez and the rest of the fleet managed to escape.,"Ja. Die Wellenfront katapultierte uns nach Andromeda. Die Zirax griffen uns an und zerstörten eine Menge Schiffe. Wir verloren viele gute Männer und Frauen, bis Perez und der Rest der Flotte entkommen konnten.",Oui. Le front d'onde nous a catapultés vers Andromède. Les Zirax nous ont attaqué et détruit beaucoup de vaisseaux. Nous avons perdu beaucoup de courageux hommes et femmes jusqu'à ce que Perez et le reste de la flotte réussissent à s'échapper.,,,,,,,,对。能量波把我们推到仙女座。兹瑞克斯人攻击了我们并摧毁了许多船只。在佩雷斯和其他舰队成员成功逃脱之前，我们失去了许多优秀的男女战士。,,,,,,
dialogue_KuZiq,Vice Admiral Perez?,Vizeadmiral Perez?,Le vice-amiral Perez?,,,,,,,,佩雷斯中将？,,,,,,
dialogue_eiKaF,"Yes. Admiral Benner died when the Titan was destroyed. We still do not know if my father and Admiral Yaden survived. We had some traces that they were held captives somewhere, but never found anything - except the traps the Zirax set up.  So you might understand, although we were closely following what you did after you arrived, most of us had a lot of concerns.  Especially now as things seem to escalate...","Ja. Admiral Benner starb, als die Titan zerstört wurde. Wir wissen immer noch nicht, ob mein Vater und Admiral Yaden überlebt haben. Wir hatten einige Spuren, daß sie irgendwo gefangengehalten wurden, haben aber nie etwas gefunden - außer den Fallen, die die Zirax aufgestellt haben.  Du wirst also vielleicht verstehen, dass die meisten von uns große Bedenken hatten, obwohl wir genau verfolgt haben, was du nach deiner Ankunft getan hast.  Besonders jetzt, da die Dinge zu eskalieren scheinen...","Oui. L'amiral Benner est mort lorsque le Titan a été détruit. Nous ne savons toujours pas si mon père et l'amiral Yaden ont survécu. Nous avions des indices indiquant qu'ils avaient été retenus captifs quelque part, mais nous n'avons rien trouvé - à part les pièges que les Zirax avait installés. Vous comprenez donc que, même si nous suivions de près ce que vous avez fait après votre arrivée, la plupart d'entre nous avaient beaucoup de préoccupations. Surtout maintenant que les choses semblent dégénérer...",,,,,,,,对。班纳上将在泰坦号被摧毁时牺牲。我们仍然不知道我父亲和亚登上将是否幸存。我们有一些线索表明他们被囚禁在某个地方，但除了兹瑞克斯人设置的陷阱外，什么也没发现。所以你可能明白，虽然我们一直在密切关注你来后的所作所为，但我们大多数人都有很多顾虑。尤其是现在事情似乎在升级…,,,,,,
dialogue_gKuOO,You are leading the GLaD?,Du führst den GLaD?,Vous dirigez le GLaD?,,,,,,,,你是格莱德集团的领导人？,,,,,,
